2019-11-18 09:42:46,"b'@ANI Maharashtra politics has became a Triangle Love Story, both men are confident about their love for the woman b\xe2\x80\xa6 https://t.co/JAKqHAOL0g'"
2019-11-18 09:41:58,"b'More than Pawar, more than Sanjya if there is one entity more eager than anyone to install a non-BJP CM is media pa\xe2\x80\xa6 https://t.co/bdLRvMCkWw'"
2019-11-18 09:41:49,"b'Maharashtra politics has became a Triangle Love Story, both men are confident about their love for the woman but th\xe2\x80\xa6 https://t.co/VU6PuLVqGb'"
2019-11-18 09:41:43,"b'RT @prettypadmaja: #MaharashtraGovtFormation #SharadPawarUturn?\nBaffling Response On Shiv Sena says ""BJP-Shiv Sena fought together, we (NCP\xe2\x80\xa6'"
2019-11-18 09:40:59,"b'RT @prettypadmaja: #MaharashtraGovtFormation #SharadPawarUturn?\nBaffling Response On Shiv Sena says ""BJP-Shiv Sena fought together, we (NCP\xe2\x80\xa6'"
2019-11-18 09:40:29,"b'#MaharashtraGovtFormation\nSharad Pawar : BJP and Shiv Sena contested against us, how can Congress and NCP form a go\xe2\x80\xa6 https://t.co/ltZ6cgJlnA'"
2019-11-18 09:39:57,"b'RT @maryashakil: At a time when @PawarSpeaks is attempting to string together an opposition front with the ShivSena &amp; Cong in Maharashtra,\xe2\x80\xa6'"
2019-11-18 09:39:53,"b""RT @SwamiGeetika: Indira Gandhi was Prime Minister for around 17 years. She imposed President's Rule in 21 states, 50 times. \n\nJust saying.\xe2\x80\xa6"""
2019-11-18 09:38:57,"b'RT @maryashakil: At a time when @PawarSpeaks is attempting to string together an opposition front with the ShivSena &amp; Cong in Maharashtra,\xe2\x80\xa6'"
2019-11-18 09:38:20,"b'RT @maryashakil: At a time when @PawarSpeaks is attempting to string together an opposition front with the ShivSena &amp; Cong in Maharashtra,\xe2\x80\xa6'"
2019-11-18 09:38:10,"b'RT @maryashakil: At a time when @PawarSpeaks is attempting to string together an opposition front with the ShivSena &amp; Cong in Maharashtra,\xe2\x80\xa6'"
2019-11-18 09:38:02,"b'RT @IndiaNisha18: Beauty of BJP.!\xf0\x9f\x98\x8d\n\nEx-CM of Maharashtra Devendra Fadnavis has changed his bio as ""Maharashtra\'s Sevak""\n\nEx-CM of Madhya Pr\xe2\x80\xa6'"
2019-11-18 09:37:57,b'RT @MANJULtoons: #BalThackeray #DevendraFadnavis\nMy #cartoon for @mid_day\n#MaharashtraGovtFormation #MaharashtraPoliticalCrisis #Maharashtr\xe2\x80\xa6'
2019-11-18 09:37:53,"b""RT @Afternoon_Voice: .@ShelarAshish: #BJP will not contest #Mumbai Mayor elections as it doesn't have the numbers. BJP doesn't want to have\xe2\x80\xa6"""
2019-11-18 09:37:50,b'Do not be surprised at the Alliance of #BJP and #NCP in the next 15 days. \n#ShivSenaCheatsItself\xe2\x80\xa6 https://t.co/GEYlhd96qe'
2019-11-18 09:37:44,b'RT @Afternoon_Voice: #EPAPER | Topics included: \n#RoadSafety #RoadAccident #SafeRoads #SafetyFirst #Divorce #MaharashtraGovtFormation #Jhun\xe2\x80\xa6'
2019-11-18 09:37:33,"b'RT @Afternoon_Voice: #SharadPawar: #BJP-Shiv Sena fought together, we (#NCP) &amp; #Congress fought together. They have to choose their path &amp;\xe2\x80\xa6'"
2019-11-18 09:36:59,"b'RT @prettypadmaja: #MaharashtraGovtFormation #SharadPawarUturn?\nBaffling Response On Shiv Sena says ""BJP-Shiv Sena fought together, we (NCP\xe2\x80\xa6'"
2019-11-18 09:36:44,"b""@maryashakil @PawarSpeaks @PMOIndia Its a good twist but Mr. Pawar won't get too much flattered with this praise af\xe2\x80\xa6 https://t.co/wAwJdDhh4a"""
2019-11-18 09:36:42,"b'RT @maryashakil: At a time when @PawarSpeaks is attempting to string together an opposition front with the ShivSena &amp; Cong in Maharashtra,\xe2\x80\xa6'"
2019-11-18 09:34:48,"b'RT @Drssshetty: #PresidentRuleInMaha \n#maharashtraWithShivsena \nAs an educated,concerned voter in the recent #MaharashtraGovtFormation elec\xe2\x80\xa6'"
2019-11-18 09:34:20,"b'RT @maryashakil: At a time when @PawarSpeaks is attempting to string together an opposition front with the ShivSena &amp; Cong in Maharashtra,\xe2\x80\xa6'"
2019-11-18 09:32:45,"b'RT @rao_nava: Shiv Sena now is a Combination of Vada Pav, Pizza &amp; Bullets - \xf0\x9f\x98\x82\xf0\x9f\x98\x82\n#MaharashtraPolitics #MaharashtraGovtFormation https://t.co/\xe2\x80\xa6'"
2019-11-18 09:31:56,"b'RT @maryashakil: At a time when @PawarSpeaks is attempting to string together an opposition front with the ShivSena &amp; Cong in Maharashtra,\xe2\x80\xa6'"
2019-11-18 09:31:10,"b'RT @maryashakil: At a time when @PawarSpeaks is attempting to string together an opposition front with the ShivSena &amp; Cong in Maharashtra,\xe2\x80\xa6'"
2019-11-18 09:31:06,"b'RT @maryashakil: At a time when @PawarSpeaks is attempting to string together an opposition front with the ShivSena &amp; Cong in Maharashtra,\xe2\x80\xa6'"
2019-11-18 09:30:26,"b'RT @maryashakil: At a time when @PawarSpeaks is attempting to string together an opposition front with the ShivSena &amp; Cong in Maharashtra,\xe2\x80\xa6'"
2019-11-18 09:30:01,b'RT @ashokhajeri: @ShivSena NCP n Congress to meet again for 786th time to form govt\n#MaharashtraGovtFormation'
2019-11-18 09:29:50,"b'RT @maryashakil: At a time when @PawarSpeaks is attempting to string together an opposition front with the ShivSena &amp; Cong in Maharashtra,\xe2\x80\xa6'"
2019-11-18 09:29:35,b'@ShivSena NCP n Congress to meet again for 786th time to form govt\n#MaharashtraGovtFormation'
2019-11-18 09:29:16,b'At a time when @PawarSpeaks is attempting to string together an opposition front with the ShivSena &amp; Cong in Mahara\xe2\x80\xa6 https://t.co/9rdyTsSmYt'
2019-11-18 09:27:35,b'@Nidhi Eye on #MaharashtraGovtFormation ... rest of the things can wait...'
2019-11-18 09:26:08,b'@AshishSinghLIVE @narendramodi @NCPspeaks Art of politics... #MaharashtraGovtFormation is the key'
2019-11-18 09:25:45,"b""I don't understand the sharing #chiefminister policy in #MaharashtraGovtFormation \n\njust follow #odd and #even days\xe2\x80\xa6 https://t.co/MQt678I4k7"""
2019-11-18 09:25:41,b'@AshishSinghLIVE Rajniti is this only.\nany thing and everything is possible.\n\n#MaharashtraGovtFormation \n#Picture_abhi_Baki_Hain'
2019-11-18 09:25:15,b'@ANI 250th session of #Parliament to decide future of #ShivaSena in #MaharashtraGovtFormation'
2019-11-18 09:25:11,"b'RT @prettypadmaja: #MaharashtraGovtFormation #SharadPawarUturn?\nBaffling Response On Shiv Sena says ""BJP-Shiv Sena fought together, we (NCP\xe2\x80\xa6'"
2019-11-18 09:24:31,"b'Sharad Pawar takes a U-turn and says ""BJP-Shiv Sena fought together, we (NCP) and Congress fought together. They ha\xe2\x80\xa6 https://t.co/bAETAvRCmJ'"
2019-11-18 09:24:17,b'@RubikaLiyaquat Modi has just praised NCP in RS. Something is cooking up for Maharashtra !!! \xf0\x9f\xa4\x94  #MaharashtraGovtFormation'
2019-11-18 09:24:10,b'RT @MeghaSPrasad: PM appreciates Sharad Pawar in his speech in #RajyaSabha. These warm for Pawar just before he meets Sonia Gandhi to final\xe2\x80\xa6'
