urllib3.connectionpool | DEBUG | http://127.0.0.1:38809 "GET /session/017e82f82111bbf59f6f2dd123828f2c/screenshot HTTP/1.1" 404 222
urllib3.connectionpool | DEBUG | http://127.0.0.1:38809 "GET /session/017e82f82111bbf59f6f2dd123828f2c/screenshot HTTP/1.1" 404 222
urllib3.connectionpool | DEBUG | http://127.0.0.1:58049 "POST /session/b1c2bbaa328e34fe6fcb0e6376670602/window/maximize HTTP/1.1" 200 52
urllib3.connectionpool | DEBUG | Starting new HTTP connection (1): 127.0.0.1:59011
urllib3.connectionpool | DEBUG | http://127.0.0.1:59011 "POST /session HTTP/1.1" 200 641
urllib3.connectionpool | DEBUG | http://127.0.0.1:59011 "POST /session/4c89046e3d2846f82f8bae18a0aa34d5/timeouts HTTP/1.1" 200 14
urllib3.connectionpool | DEBUG | http://127.0.0.1:59011 "POST /session/4c89046e3d2846f82f8bae18a0aa34d5/window/maximize HTTP/1.1" 200 52
urllib3.connectionpool | DEBUG | http://127.0.0.1:59011 "POST /session/4c89046e3d2846f82f8bae18a0aa34d5/window/maximize HTTP/1.1" 200 52
urllib3.connectionpool | DEBUG | http://127.0.0.1:59011 "POST /session/4c89046e3d2846f82f8bae18a0aa34d5/url HTTP/1.1" 200 14
urllib3.connectionpool | DEBUG | http://127.0.0.1:59011 "POST /session/4c89046e3d2846f82f8bae18a0aa34d5/url HTTP/1.1" 200 14
Disc_CommonFunctionality | INFO  | Open URL successful
Disc_CommonFunctionality | INFO  | Open URL successful
urllib3.connectionpool | DEBUG | http://127.0.0.1:59011 "POST /session/4c89046e3d2846f82f8bae18a0aa34d5/element HTTP/1.1" 404 295
urllib3.connectionpool | DEBUG | http://127.0.0.1:59011 "POST /session/4c89046e3d2846f82f8bae18a0aa34d5/element HTTP/1.1" 404 295
urllib3.connectionpool | DEBUG | http://127.0.0.1:59011 "POST /session/4c89046e3d2846f82f8bae18a0aa34d5/element HTTP/1.1" 404 295
urllib3.connectionpool | DEBUG | http://127.0.0.1:59011 "POST /session/4c89046e3d2846f82f8bae18a0aa34d5/element HTTP/1.1" 404 295
urllib3.connectionpool | DEBUG | http://127.0.0.1:59011 "GET /session/4c89046e3d2846f82f8bae18a0aa34d5/screenshot HTTP/1.1" 200 743324
urllib3.connectionpool | DEBUG | http://127.0.0.1:59011 "GET /session/4c89046e3d2846f82f8bae18a0aa34d5/screenshot HTTP/1.1" 200 743324
