urllib3.connectionpool | DEBUG | http://127.0.0.1:37121 "POST /session/e6eb57d3b37f995540301084cef83aee/execute/sync HTTP/1.1" 200 14
urllib3.connectionpool | DEBUG | http://127.0.0.1:37121 "POST /session/e6eb57d3b37f995540301084cef83aee/execute/sync HTTP/1.1" 200 14
urllib3.connectionpool | DEBUG | http://127.0.0.1:41899 "POST /session/fc782db24a040de876e85e99250c557d/window/maximize HTTP/1.1" 200 52
urllib3.connectionpool | DEBUG | Starting new HTTP connection (1): 127.0.0.1:58003
urllib3.connectionpool | DEBUG | http://127.0.0.1:58003 "POST /session HTTP/1.1" 200 641
urllib3.connectionpool | DEBUG | http://127.0.0.1:58003 "POST /session/fb04ec2f3440f647e8fab329e457b871/timeouts HTTP/1.1" 200 14
urllib3.connectionpool | DEBUG | http://127.0.0.1:58003 "POST /session/fb04ec2f3440f647e8fab329e457b871/window/maximize HTTP/1.1" 200 52
urllib3.connectionpool | DEBUG | http://127.0.0.1:58003 "POST /session/fb04ec2f3440f647e8fab329e457b871/window/maximize HTTP/1.1" 200 52
urllib3.connectionpool | DEBUG | http://127.0.0.1:58003 "POST /session/fb04ec2f3440f647e8fab329e457b871/url HTTP/1.1" 200 14
urllib3.connectionpool | DEBUG | http://127.0.0.1:58003 "POST /session/fb04ec2f3440f647e8fab329e457b871/url HTTP/1.1" 200 14
Disc_CommonFunctionality | INFO  | Open URL successful
Disc_CommonFunctionality | INFO  | Open URL successful
urllib3.connectionpool | DEBUG | http://127.0.0.1:58003 "POST /session/fb04ec2f3440f647e8fab329e457b871/element HTTP/1.1" 200 88
urllib3.connectionpool | DEBUG | http://127.0.0.1:58003 "POST /session/fb04ec2f3440f647e8fab329e457b871/element HTTP/1.1" 200 88
urllib3.connectionpool | DEBUG | http://127.0.0.1:58003 "POST /session/fb04ec2f3440f647e8fab329e457b871/execute/sync HTTP/1.1" 200 14
urllib3.connectionpool | DEBUG | http://127.0.0.1:58003 "POST /session/fb04ec2f3440f647e8fab329e457b871/execute/sync HTTP/1.1" 200 14
Browser | DEBUG | Browser.get_elements: By=xpath, ByValue=//span[@class='dscHeaderMain__topNavText' and contains(text(),"Shows")]
Browser | DEBUG | Browser.get_elements: By=xpath, ByValue=//span[@class='dscHeaderMain__topNavText' and contains(text(),"Shows")]
urllib3.connectionpool | DEBUG | http://127.0.0.1:58003 "POST /session/fb04ec2f3440f647e8fab329e457b871/elements HTTP/1.1" 200 90
urllib3.connectionpool | DEBUG | http://127.0.0.1:58003 "POST /session/fb04ec2f3440f647e8fab329e457b871/elements HTTP/1.1" 200 90
Browser | DEBUG | Element identified: By=xpath, ByValue=//span[@class='dscHeaderMain__topNavText' and contains(text(),"Shows")]
Browser | DEBUG | Element identified: By=xpath, ByValue=//span[@class='dscHeaderMain__topNavText' and contains(text(),"Shows")]
urllib3.connectionpool | DEBUG | http://127.0.0.1:58003 "POST /session/fb04ec2f3440f647e8fab329e457b871/element/826fb5dd-c1d5-4cbc-ad06-50d7c044da1a/click HTTP/1.1" 200 14
urllib3.connectionpool | DEBUG | http://127.0.0.1:58003 "POST /session/fb04ec2f3440f647e8fab329e457b871/element/826fb5dd-c1d5-4cbc-ad06-50d7c044da1a/click HTTP/1.1" 200 14
WebUIOperation | DEBUG | Click operation                                          successful- shows
WebUIOperation | DEBUG | Click operation                                          successful- shows
urllib3.connectionpool | DEBUG | http://127.0.0.1:58003 "POST /session/fb04ec2f3440f647e8fab329e457b871/element HTTP/1.1" 200 88
urllib3.connectionpool | DEBUG | http://127.0.0.1:58003 "POST /session/fb04ec2f3440f647e8fab329e457b871/element HTTP/1.1" 200 88
urllib3.connectionpool | DEBUG | http://127.0.0.1:58003 "POST /session/fb04ec2f3440f647e8fab329e457b871/execute/sync HTTP/1.1" 200 14
urllib3.connectionpool | DEBUG | http://127.0.0.1:58003 "POST /session/fb04ec2f3440f647e8fab329e457b871/execute/sync HTTP/1.1" 200 14
Browser | DEBUG | Browser.get_elements: By=xpath, ByValue=(//div/a[contains(text(),'See All Shows')])[1]
Browser | DEBUG | Browser.get_elements: By=xpath, ByValue=(//div/a[contains(text(),'See All Shows')])[1]
urllib3.connectionpool | DEBUG | http://127.0.0.1:58003 "POST /session/fb04ec2f3440f647e8fab329e457b871/elements HTTP/1.1" 200 90
urllib3.connectionpool | DEBUG | http://127.0.0.1:58003 "POST /session/fb04ec2f3440f647e8fab329e457b871/elements HTTP/1.1" 200 90
Browser | DEBUG | Element identified: By=xpath, ByValue=(//div/a[contains(text(),'See All Shows')])[1]
Browser | DEBUG | Element identified: By=xpath, ByValue=(//div/a[contains(text(),'See All Shows')])[1]
urllib3.connectionpool | DEBUG | http://127.0.0.1:58003 "POST /session/fb04ec2f3440f647e8fab329e457b871/actions HTTP/1.1" 200 14
urllib3.connectionpool | DEBUG | http://127.0.0.1:58003 "POST /session/fb04ec2f3440f647e8fab329e457b871/actions HTTP/1.1" 200 14
WebUIOperation | DEBUG | mouse_hover operation                                      successful- see_all_shows_link
WebUIOperation | DEBUG | mouse_hover operation                                      successful- see_all_shows_link
Browser | DEBUG | Browser.get_elements: By=xpath, ByValue=(//div/a[contains(text(),'See All Shows')])[1]
Browser | DEBUG | Browser.get_elements: By=xpath, ByValue=(//div/a[contains(text(),'See All Shows')])[1]
urllib3.connectionpool | DEBUG | http://127.0.0.1:58003 "POST /session/fb04ec2f3440f647e8fab329e457b871/elements HTTP/1.1" 200 90
urllib3.connectionpool | DEBUG | http://127.0.0.1:58003 "POST /session/fb04ec2f3440f647e8fab329e457b871/elements HTTP/1.1" 200 90
Browser | DEBUG | Element identified: By=xpath, ByValue=(//div/a[contains(text(),'See All Shows')])[1]
Browser | DEBUG | Element identified: By=xpath, ByValue=(//div/a[contains(text(),'See All Shows')])[1]
urllib3.connectionpool | DEBUG | http://127.0.0.1:58003 "POST /session/fb04ec2f3440f647e8fab329e457b871/element/4a1c55f4-97d8-478b-8a09-7536db6e7a5a/click HTTP/1.1" 200 14
urllib3.connectionpool | DEBUG | http://127.0.0.1:58003 "POST /session/fb04ec2f3440f647e8fab329e457b871/element/4a1c55f4-97d8-478b-8a09-7536db6e7a5a/click HTTP/1.1" 200 14
WebUIOperation | DEBUG | Click operation                                          successful- see_all_shows_link
WebUIOperation | DEBUG | Click operation                                          successful- see_all_shows_link
urllib3.connectionpool | DEBUG | http://127.0.0.1:58003 "POST /session/fb04ec2f3440f647e8fab329e457b871/element HTTP/1.1" 200 88
urllib3.connectionpool | DEBUG | http://127.0.0.1:58003 "POST /session/fb04ec2f3440f647e8fab329e457b871/element HTTP/1.1" 200 88
urllib3.connectionpool | DEBUG | http://127.0.0.1:58003 "POST /session/fb04ec2f3440f647e8fab329e457b871/execute/sync HTTP/1.1" 200 14
urllib3.connectionpool | DEBUG | http://127.0.0.1:58003 "POST /session/fb04ec2f3440f647e8fab329e457b871/execute/sync HTTP/1.1" 200 14
