urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/element HTTP/1.1" 200 103
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "GET /session/11796e760d026b4a96ce46eb46dd30f1/element/0.15817815304579153-4/displayed HTTP/1.1" 200 72
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "GET /session/11796e760d026b4a96ce46eb46dd30f1/element/0.15817815304579153-4/displayed HTTP/1.1" 200 72
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/element HTTP/1.1" 200 103
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/element HTTP/1.1" 200 103
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "GET /session/11796e760d026b4a96ce46eb46dd30f1/element/0.15817815304579153-5/displayed HTTP/1.1" 200 73
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "GET /session/11796e760d026b4a96ce46eb46dd30f1/element/0.15817815304579153-5/displayed HTTP/1.1" 200 73
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/element HTTP/1.1" 200 103
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/element HTTP/1.1" 200 103
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "GET /session/11796e760d026b4a96ce46eb46dd30f1/element/0.15817815304579153-5/displayed HTTP/1.1" 200 73
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "GET /session/11796e760d026b4a96ce46eb46dd30f1/element/0.15817815304579153-5/displayed HTTP/1.1" 200 73
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/element HTTP/1.1" 200 103
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/element HTTP/1.1" 200 103
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "GET /session/11796e760d026b4a96ce46eb46dd30f1/element/0.15817815304579153-5/displayed HTTP/1.1" 200 73
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "GET /session/11796e760d026b4a96ce46eb46dd30f1/element/0.15817815304579153-5/displayed HTTP/1.1" 200 73
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/element HTTP/1.1" 200 103
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/element HTTP/1.1" 200 103
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "GET /session/11796e760d026b4a96ce46eb46dd30f1/element/0.15817815304579153-5/displayed HTTP/1.1" 200 73
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "GET /session/11796e760d026b4a96ce46eb46dd30f1/element/0.15817815304579153-5/displayed HTTP/1.1" 200 73
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/element HTTP/1.1" 200 103
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "POST /session/11796e760d026b4a96ce46eb46dd30f1/element HTTP/1.1" 200 103
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "GET /session/11796e760d026b4a96ce46eb46dd30f1/element/0.15817815304579153-5/displayed HTTP/1.1" 200 73
urllib3.connectionpool | DEBUG | http://127.0.0.1:56155 "GET /session/11796e760d026b4a96ce46eb46dd30f1/element/0.15817815304579153-5/displayed HTTP/1.1" 200 73
